,reproCost,radiusCost,energyQuantity,maxMutate,growthRate,rescDensity,basalEnergyCost,0.025,0.25,0.5,0.75,0.975
1,0.5,0.1,1.0,0.05,0.5,0.75,0.05,0.0,0.0,0.0,0.0,0.0
2,0.5,0.1,1.0,0.1,0.5,0.75,0.05,0.0,0.0,0.0,0.0,0.0
3,0.5,0.1,1.0,0.15000000000000002,0.5,0.75,0.05,0.4858686,0.745038,0.8971520000000001,1.041643,1.3549905999999978
4,0.5,0.1,1.0,0.2,0.5,0.75,0.05,0.4185922500000001,0.703414,0.8687174999999999,1.03550875,1.421456
5,0.5,0.1,1.0,0.25,0.5,0.75,0.05,0.33808025,0.648347,0.818466,0.996449,1.36636275
6,0.5,0.1,1.0,0.30000000000000004,0.5,0.75,0.05,0.27952115,0.62048,0.803822,0.9975925,1.403691049999999
7,0.5,0.1,1.0,0.35000000000000003,0.5,0.75,0.05,0.22440687500000006,0.5992305,0.7987734999999999,1.0096645,1.452941975
8,0.5,0.1,1.0,0.4,0.5,0.75,0.05,0.1678486,0.571987,0.785928,1.010267,1.4710636000000008
9,0.5,0.1,1.0,0.45,0.5,0.75,0.05,0.1146736,0.5475770000000001,0.776775,1.018708,1.5125404000000002
10,0.5,0.1,1.0,0.5,0.5,0.75,0.05,0.06261780000000003,0.524027,0.771644,1.0286645,1.5634231499999998
11,0.5,0.1,1.0,0.55,0.5,0.75,0.05,0.016596400000000004,0.502076,0.767948,1.039529,1.6016402000000003
12,0.5,0.1,1.0,0.6000000000000001,0.5,0.75,0.05,0.0,0.479442,0.762604,1.052276,1.6535444999999993
13,0.5,0.1,1.0,0.65,0.5,0.75,0.05,0.0,0.4588945,0.7592409999999999,1.06389575,1.7000326499999998
14,0.5,0.1,1.0,0.7000000000000001,0.5,0.75,0.05,0.0,0.43581775,0.7534485,1.07387475,1.7405372499999998
15,0.5,0.1,1.0,0.75,0.5,0.75,0.05,0.0,0.412323,0.752008,1.085817,1.7893095999999995
